message,has_budget,has_timeline,urgency,label
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
looking to buy software immediately,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
need app asap budget 1 lakh,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
require ecommerce website urgent,1,1,2,Hot
urgent website needed budget 50k,1,1,2,Hot
may need app in future,0,1,1,Warm
looking for quotation,0,1,1,Warm
may need app in future,0,1,1,Warm
may need app in future,0,1,1,Warm
may need app in future,0,1,1,Warm
interested but need discussion,0,1,1,Warm
looking for quotation,0,1,1,Warm
planning website next month,0,1,1,Warm
may need app in future,0,1,1,Warm
may need app in future,0,1,1,Warm
planning website next month,0,1,1,Warm
may need app in future,0,1,1,Warm
looking for quotation,0,1,1,Warm
may need app in future,0,1,1,Warm
may need app in future,0,1,1,Warm
interested but need discussion,0,1,1,Warm
looking for quotation,0,1,1,Warm
planning website next month,0,1,1,Warm
interested but need discussion,0,1,1,Warm
planning website next month,0,1,1,Warm
looking for quotation,0,1,1,Warm
planning website next month,0,1,1,Warm
interested but need discussion,0,1,1,Warm
interested but need discussion,0,1,1,Warm
looking for quotation,0,1,1,Warm
looking for quotation,0,1,1,Warm
looking for quotation,0,1,1,Warm
interested but need discussion,0,1,1,Warm
may need app in future,0,1,1,Warm
looking for quotation,0,1,1,Warm
planning website next month,0,1,1,Warm
may need app in future,0,1,1,Warm
interested but need discussion,0,1,1,Warm
may need app in future,0,1,1,Warm
looking for quotation,0,1,1,Warm
looking for quotation,0,1,1,Warm
planning website next month,0,1,1,Warm
may need app in future,0,1,1,Warm
may need app in future,0,1,1,Warm
interested but need discussion,0,1,1,Warm
planning website next month,0,1,1,Warm
planning website next month,0,1,1,Warm
planning website next month,0,1,1,Warm
looking for quotation,0,1,1,Warm
planning website next month,0,1,1,Warm
may need app in future,0,1,1,Warm
looking for quotation,0,1,1,Warm
interested but need discussion,0,1,1,Warm
may need app in future,0,1,1,Warm
interested but need discussion,0,1,1,Warm
planning website next month,0,1,1,Warm
planning website next month,0,1,1,Warm
interested but need discussion,0,1,1,Warm
planning website next month,0,1,1,Warm
looking for quotation,0,1,1,Warm
interested but need discussion,0,1,1,Warm
planning website next month,0,1,1,Warm
interested but need discussion,0,1,1,Warm
interested but need discussion,0,1,1,Warm
interested but need discussion,0,1,1,Warm
may need app in future,0,1,1,Warm
interested but need discussion,0,1,1,Warm
planning website next month,0,1,1,Warm
interested but need discussion,0,1,1,Warm
may need app in future,0,1,1,Warm
interested but need discussion,0,1,1,Warm
may need app in future,0,1,1,Warm
planning website next month,0,1,1,Warm
interested but need discussion,0,1,1,Warm
interested but need discussion,0,1,1,Warm
looking for quotation,0,1,1,Warm
interested but need discussion,0,1,1,Warm
interested but need discussion,0,1,1,Warm
planning website next month,0,1,1,Warm
interested but need discussion,0,1,1,Warm
interested but need discussion,0,1,1,Warm
planning website next month,0,1,1,Warm
interested but need discussion,0,1,1,Warm
looking for quotation,0,1,1,Warm
interested but need discussion,0,1,1,Warm
may need app in future,0,1,1,Warm
may need app in future,0,1,1,Warm
planning website next month,0,1,1,Warm
may need app in future,0,1,1,Warm
planning website next month,0,1,1,Warm
may need app in future,0,1,1,Warm
interested but need discussion,0,1,1,Warm
looking for quotation,0,1,1,Warm
interested but need discussion,0,1,1,Warm
interested but need discussion,0,1,1,Warm
just checking price,0,0,0,Archive
hi,0,0,0,Archive
just checking price,0,0,0,Archive
hi,0,0,0,Archive
only enquiry,0,0,0,Archive
hi,0,0,0,Archive
just checking price,0,0,0,Archive
hi,0,0,0,Archive
hi,0,0,0,Archive
need info,0,0,0,Archive
just checking price,0,0,0,Archive
hi,0,0,0,Archive
need info,0,0,0,Archive
hi,0,0,0,Archive
hi,0,0,0,Archive
only enquiry,0,0,0,Archive
need info,0,0,0,Archive
hi,0,0,0,Archive
just checking price,0,0,0,Archive
only enquiry,0,0,0,Archive
need info,0,0,0,Archive
hi,0,0,0,Archive
just checking price,0,0,0,Archive
hi,0,0,0,Archive
hi,0,0,0,Archive
only enquiry,0,0,0,Archive
only enquiry,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
only enquiry,0,0,0,Archive
just checking price,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
just checking price,0,0,0,Archive
just checking price,0,0,0,Archive
hi,0,0,0,Archive
hi,0,0,0,Archive
only enquiry,0,0,0,Archive
need info,0,0,0,Archive
just checking price,0,0,0,Archive
only enquiry,0,0,0,Archive
only enquiry,0,0,0,Archive
hi,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
only enquiry,0,0,0,Archive
hi,0,0,0,Archive
only enquiry,0,0,0,Archive
hi,0,0,0,Archive
need info,0,0,0,Archive
just checking price,0,0,0,Archive
need info,0,0,0,Archive
hi,0,0,0,Archive
only enquiry,0,0,0,Archive
only enquiry,0,0,0,Archive
only enquiry,0,0,0,Archive
just checking price,0,0,0,Archive
only enquiry,0,0,0,Archive
only enquiry,0,0,0,Archive
hi,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
hi,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
need info,0,0,0,Archive
only enquiry,0,0,0,Archive
only enquiry,0,0,0,Archive
only enquiry,0,0,0,Archive
just checking price,0,0,0,Archive
just checking price,0,0,0,Archive
hi,0,0,0,Archive
need info,0,0,0,Archive
only enquiry,0,0,0,Archive
just checking price,0,0,0,Archive
only enquiry,0,0,0,Archive
only enquiry,0,0,0,Archive
need info,0,0,0,Archive
just checking price,0,0,0,Archive
hi,0,0,0,Archive
just checking price,0,0,0,Archive
just checking price,0,0,0,Archive
just checking price,0,0,0,Archive
just checking price,0,0,0,Archive
hi,0,0,0,Archive
just checking price,0,0,0,Archive
